A Distancia	Escudo	Classe de Tamanho	Bônus de Dano	Nome	Tipo de dano	Bônus de Manuseio	Bônus de Peso	Bônus de Defesa	Habilidades
FALSO	FALSO	D	4	Lança Grande	Perfurante	1	2	-	Investida, Alcance
FALSO	FALSO	D	4	Picareta	Perfurante	-	3	-	Ignorar armadura
FALSO	FALSO	D	4	Machado grande	Cortante	-	3	-	Arremessável, Laceração
FALSO	FALSO	D	3	Machado de Lenhador	Cortante	1	2	-	Ataque em Arco, Impactante, Ignorar Armadura
FALSO	FALSO	D	4	Martelo de Guerra	Impacto	-	3	-	Ataque em Arco, Impactante
VERDADEIRO	FALSO	A	0	Dardo	Perfurante / Cortante	1	-	-	Silencioso, Saque Rápido, Disfarçado
VERDADEIRO	FALSO	A	1	Funda	Impacto	-	1	-	Impactante, Disfarçado, Silencioso
VERDADEIRO	FALSO	A	1	Besta de Mão	Perfurante	-	-	-	Saque Rápido, Combate Duplo
VERDADEIRO	FALSO	A	0	Boomerang	Impacto	-	-	-	Disfarçado, Retorno, Ataque em Arco
VERDADEIRO	FALSO	A	1	Zarabatana	Perfurante/ Veneno	1	-	-	Disfarçado, Silencioso, Saque Rápido
VERDADEIRO	FALSO	A	2	Zarabatana Longa	Perfurante/ Veneno	-	-	-	Disfarçado, Silencioso, Perfurar Armadura
VERDADEIRO	FALSO	B	1	Arpão farpado	Perfurante	-	-	-	Aquático, Laceração
VERDADEIRO	FALSO	B	2	Besta de Repetição	Perfurante	1	-	-	Saque Rápido
VERDADEIRO	FALSO	C	2	Lançador de Arpão	Perfurante	-	1		Aquático, Laceração
VERDADEIRO	FALSO	C	2	Besta Simples	Perfurante	1	1	-	Confiável
VERDADEIRO	FALSO	C	2	Besta Robusta	Perfurante	1	1	1	Estabilidade
VERDADEIRO	FALSO	C	3	Besta Pesada	Perfurante	-	1	-	Impactante
VERDADEIRO	FALSO	C	1	Balista e Corda	Perfurante	1	2	-	Agarrar
VERDADEIRO	FALSO	C	-	Estilingue	-	1	1	-	Impactante, Disfarçado, Silencioso, Silencioso
VERDADEIRO	FALSO	C	2	Arco Curto	Perfurante	1	-	-	Arma oportuna, Saque rápido, Silencioso, Agarrar
VERDADEIRO	FALSO	C	2	Arco Composto	Perfurante	1	1	-	Contra-Ataque, Agarrar
VERDADEIRO	FALSO	C	2	Arco Longo	Perfurante	-	2	-	Ignorar armadura
VERDADEIRO	FALSO	C	2	Arco Recurvo	Perfurante	2	-	-	Arma oportuna, Agarrar
VERDADEIRO	FALSO	C	3	Arco Reforçado	Perfurante	-	-	-	Impactante
VERDADEIRO	FALSO	D	4	Arco Grande	Perfurante	1	2	-	Empalar
VERDADEIRO	FALSO	D	4	Balista de Mão	Perfurante	-	3	-	Empalar
FALSO	VERDADEIRO	-	0	Manoplas pesadas	Impacto	-	-	1	Disfarçado, Confiável, Agarrar
FALSO	VERDADEIRO	-	1	Bracelete acoplado	Impacto	1	-	1	Confiável
FALSO	VERDADEIRO	A	1	Escudo redondo	Impacto	1	-	1	Contra ataque
FALSO	VERDADEIRO	A	1	Buckler	Impacto	1	-	1	Combate Duplo
FALSO	VERDADEIRO	B	1	Escudo Serrilhado	Perfurante	-	-	1	Laceração
FALSO	VERDADEIRO	B	1	Escudo de Madeira	Impacto	1	-	2	Tartaruga
FALSO	VERDADEIRO	B	1	Escudo de Metal	Impacto	-	1	2	Golpe com Escudo
FALSO	VERDADEIRO	B	2	Escudo Alado	Cortante	1	-	1	Arremesso, Retorno
FALSO	VERDADEIRO	B	1	Escudo com Brasão	impacto	-	1	2	Tartaruga Status
FALSO	VERDADEIRO	B	2	Escudo Grande	Impacto	-	1	2	Golpe com escudo
FALSO	VERDADEIRO	C	2	Escudo Espelhado	Impacto	-	-	2	Visibilidade
FALSO	VERDADEIRO	C	2	Escudo em Cruz	Perfurante	-	1	3	Ataque em Arco
FALSO	VERDADEIRO	C	2	Escudo torre	Impacto	-	1	3	Investida
